connection,panel,receiver,entry_xyz_mm,direction_xyz,reserve_diameter_mm,reserve_depth_mm,missing_receiver_volume_mm3,intersecting_other_fasteners,passes_nominal_reserve
timber_panel_lower_left_1,main_lower_left,base_side_left,"[-1200.15, 6.778456605050856, 282.5328435614965]","[0.0, -0.766044443118978, 0.6427876096865393]",12.1412,17.0,0.0,[],True
timber_panel_lower_left_2,main_lower_left,base_side_left,"[-1200.15, 713.3305971724948, 1124.568895437877]","[0.0, -0.766044443118978, 0.6427876096865393]",12.1412,17.0,0.0,[],True
timber_panel_lower_left_3,main_lower_left,base_principal_center_left,"[-70.0, -0.9349947111876276, 273.34031024406875]","[0.0, -0.766044443118978, 0.6427876096865393]",12.1412,17.0,0.0,[],True
timber_panel_lower_left_4,main_lower_left,base_principal_center_left,"[-70.0, 700.4748449787639, 1109.2480065754976]","[0.0, -0.766044443118978, 0.6427876096865393]",12.1412,17.0,0.0,[],True
timber_panel_lower_left_5,main_lower_left,base_side_left,"[-1200.15, 229.4400846004679, 547.8906386579104]","[0.0, -0.766044443118978, 0.6427876096865393]",12.1412,17.0,0.0,[],True
timber_panel_lower_left_6,main_lower_left,base_side_left,"[-1200.15, 490.66896917707743, 859.211100341463]","[0.0, -0.766044443118978, 0.6427876096865393]",12.1412,17.0,0.0,[],True
timber_panel_lower_left_7,main_lower_left,base_principal_center_left,"[-70.0, 206.29973065175255, 520.3130387056272]","[0.0, -0.766044443118978, 0.6427876096865393]",12.1412,17.0,0.0,[],True
timber_panel_lower_left_8,main_lower_left,base_principal_center_left,"[-70.0, 463.6718895702428, 827.0372337304659]","[0.0, -0.766044443118978, 0.6427876096865393]",12.1412,17.0,0.0,[],True
timber_panel_lower_left_9,main_lower_left,base_rail_bottom_left,"[-834.1500000000001, 6.167808375848537, 281.8051013405334]","[0.0, -0.766044443118978, 0.6427876096865393]",12.1412,17.0,0.0,[],True
timber_panel_lower_left_10,main_lower_left,base_rail_bottom_left,"[-448.1500000000001, 6.167808375848537, 281.8051013405334]","[0.0, -0.766044443118978, 0.6427876096865393]",12.1412,17.0,0.0,[],True
timber_panel_lower_right_1,main_lower_right,base_principal_center_right,"[70.0, 19.63420879878163, 297.85373242387607]","[0.0, -0.766044443118978, 0.6427876096865393]",12.1412,17.0,0.0,[],True
timber_panel_lower_right_2,main_lower_right,base_principal_center_right,"[70.0, 726.1863493662256, 1139.8897843002567]","[0.0, -0.766044443118978, 0.6427876096865393]",12.1412,17.0,0.0,[],True
timber_panel_lower_right_3,main_lower_right,base_side_right,"[1200.15, 6.778456605050856, 282.5328435614965]","[0.0, -0.766044443118978, 0.6427876096865393]",12.1412,17.0,0.0,[],True
timber_panel_lower_right_4,main_lower_right,base_side_right,"[1200.15, 713.3305971724948, 1124.568895437877]","[0.0, -0.766044443118978, 0.6427876096865393]",12.1412,17.0,0.0,[],True
timber_panel_lower_right_5,main_lower_right,base_principal_center_right,"[70.0, 242.2958367941987, 563.2115275202899]","[0.0, -0.766044443118978, 0.6427876096865393]",12.1412,17.0,0.0,[],True
timber_panel_lower_right_6,main_lower_right,base_principal_center_right,"[70.0, 503.5247213708084, 874.5319892038426]","[0.0, -0.766044443118978, 0.6427876096865393]",12.1412,17.0,0.0,[],True
timber_panel_lower_right_7,main_lower_right,base_side_right,"[1200.15, 229.4400846004679, 547.8906386579104]","[0.0, -0.766044443118978, 0.6427876096865393]",12.1412,17.0,0.0,[],True
timber_panel_lower_right_8,main_lower_right,base_side_right,"[1200.15, 490.66896917707743, 859.211100341463]","[0.0, -0.766044443118978, 0.6427876096865393]",12.1412,17.0,0.0,[],True
timber_panel_lower_right_9,main_lower_right,base_rail_bottom_right,"[365.75000000000006, 6.167808375848537, 281.8051013405334]","[0.0, -0.766044443118978, 0.6427876096865393]",12.1412,17.0,0.0,[],True
timber_panel_lower_right_10,main_lower_right,base_rail_bottom_right,"[766.45, 6.167808375848537, 281.8051013405334]","[0.0, -0.766044443118978, 0.6427876096865393]",12.1412,17.0,0.0,[],True
timber_panel_upper_left_1,main_upper_left,base_side_left,"[-1200.15, 790.4651103348796, 1216.4942286121545]","[0.0, -0.766044443118978, 0.6427876096865393]",12.1412,17.0,0.0,[],True
timber_panel_upper_left_2,main_upper_left,base_side_left,"[-1200.15, 1471.3057465148618, 2027.888502763776]","[0.0, -0.766044443118978, 0.6427876096865393]",12.1412,17.0,0.0,[],True
timber_panel_upper_left_3,main_upper_left,base_principal_center_left,"[-70.0, 777.6093581411488, 1201.173339749775]","[0.0, -0.766044443118978, 0.6427876096865393]",12.1412,17.0,0.0,[],True
timber_panel_upper_left_4,main_upper_left,base_principal_center_left,"[-70.0, 1440.451941249908, 1991.118369494065]","[0.0, -0.766044443118978, 0.6427876096865393]",12.1412,17.0,0.0,[],True
timber_panel_upper_left_5,main_upper_left,base_side_left,"[-1200.15, 1013.1267383302966, 1481.8520237085684]","[0.0, -0.766044443118978, 0.6427876096865393]",12.1412,17.0,0.0,[],True
timber_panel_upper_left_6,main_upper_left,base_side_left,"[-1200.15, 1274.3556229069063, 1793.1724853921212]","[0.0, -0.766044443118978, 0.6427876096865393]",12.1412,17.0,0.0,[],True
timber_panel_upper_left_7,main_upper_left,base_principal_center_left,"[-70.0, 990.6291719912676, 1455.0404681994041]","[0.0, -0.766044443118978, 0.6427876096865393]",12.1412,17.0,0.0,[],True
timber_panel_upper_left_8,main_upper_left,base_principal_center_left,"[-70.0, 1248.001330909758, 1761.764663224243]","[0.0, -0.766044443118978, 0.6427876096865393]",12.1412,17.0,0.0,[],True
timber_panel_upper_left_11,main_upper_left,base_rail_top,"[-819.1500000000001, 1523.3394035189872, 2089.899800434257]","[0.0, -0.766044443118978, 0.6427876096865393]",12.1412,17.0,0.0,[],True
timber_panel_upper_left_12,main_upper_left,base_rail_top,"[-438.1500000000001, 1523.3394035189872, 2089.899800434257]","[0.0, -0.766044443118978, 0.6427876096865393]",12.1412,17.0,0.0,[],True
timber_panel_upper_right_1,main_upper_right,base_principal_center_right,"[70.0, 803.3208625286104, 1231.8151174745342]","[0.0, -0.766044443118978, 0.6427876096865393]",12.1412,17.0,0.0,[],True
timber_panel_upper_right_2,main_upper_right,base_principal_center_right,"[70.0, 1480.94756066016, 2039.3791694105607]","[0.0, -0.766044443118978, 0.6427876096865393]",12.1412,17.0,0.0,[],True
timber_panel_upper_right_3,main_upper_right,base_side_right,"[1200.15, 790.4651103348796, 1216.4942286121545]","[0.0, -0.766044443118978, 0.6427876096865393]",12.1412,17.0,0.0,[],True
timber_panel_upper_right_4,main_upper_right,base_side_right,"[1200.15, 1471.3057465148618, 2027.888502763776]","[0.0, -0.766044443118978, 0.6427876096865393]",12.1412,17.0,0.0,[],True
timber_panel_upper_right_5,main_upper_right,base_principal_center_right,"[70.0, 1025.9824905240275, 1497.1729125709478]","[0.0, -0.766044443118978, 0.6427876096865393]",12.1412,17.0,0.0,[],True
timber_panel_upper_right_6,main_upper_right,base_principal_center_right,"[70.0, 1287.2113751006368, 1808.4933742545006]","[0.0, -0.766044443118978, 0.6427876096865393]",12.1412,17.0,0.0,[],True
